epoch_utc,ra_rad,dec_rad
1741469520.0,5.221668454653199,-0.44238073192195126
1741469580.0,5.221839575719486,-0.4423426497090162
1741469640.0,5.2220106882867,-0.44230455657699413
1741469700.0,5.222181792354282,-0.4422664525278189
1741469760.0,5.222352887921623,-0.44222833756342605
1741469820.0,5.222523974988144,-0.44219021168575295
1741469880.0,5.222695053553255,-0.4421520748967317
1741469940.0,5.222866123616379,-0.44211392719829956
1741470000.0,5.223037185176904,-0.4420757685923921
1741470060.0,5.223208238234255,-0.44203759908094487
1741470120.0,5.223379282787855,-0.4419994186658936
1741470180.0,5.2235503188371295,-0.4419612273491736
1741470240.0,5.223721346381466,-0.4419230251327224
1741470300.0,5.2238923654203075,-0.44188481201847546
1741470360.0,5.224063375953077,-0.4418465880083684
1741470420.0,5.224234377979182,-0.4418083531043385
1741470480.0,5.224405371498029,-0.4417701073083214
1741470540.0,5.2245763565090755,-0.4417318506222526
1741470600.0,5.22474733301173,-0.4416935830480694
1741470660.0,5.224918301005398,-0.44165530458770913
1741470720.0,5.225089260489539,-0.4416170152431092
1741470780.0,5.225260211463559,-0.4415787150162033
1741470840.0,5.225431153926883,-0.44154040390893234
1741470900.0,5.225602087878934,-0.4415020819232301
1741470960.0,5.225773013319153,-0.4414637490610339
1741471020.0,5.225943930246983,-0.44142540532428276
1741471080.0,5.226114838661831,-0.4413870507149123
1741471140.0,5.226285738563135,-0.4413486852348598
1741471200.0,5.226456629950324,-0.44131030888606443
1741471260.0,5.226627512822852,-0.4412719216704633
1741471320.0,5.22679838718013,-0.4412335235899922
1741471380.0,5.226969253021596,-0.44119511464659
1741471440.0,5.227140110346694,-0.4411566948421942
1741471500.0,5.227310959154865,-0.441118264178742
1741471560.0,5.22748179944555,-0.4410798226581742
1741471620.0,5.227652631218171,-0.4410413702824246
1741471680.0,5.227823454472191,-0.44100290705343415
1741471740.0,5.227994269207032,-0.4409644329731418
1741471800.0,5.228165075422134,-0.4409259480434831
1741471860.0,5.228335873116959,-0.4408874522663989
1741471920.0,5.228506662290946,-0.4408489456438248
1741471980.0,5.22867744294352,-0.4408104281777016
1741472040.0,5.228848215074141,-0.44077189986996823
1741472100.0,5.229018978682266,-0.4407333607225622
1741472160.0,5.229189733767337,-0.4406948107374224
1741472220.0,5.229360480328797,-0.44065624991648805
1741472280.0,5.229531218366086,-0.4406176782616981
1741472340.0,5.22970194787868,-0.44057909577499166
1741472400.0,5.229872668866022,-0.4405405024583077
1741472460.0,5.230043381327535,-0.4405018983135854
1741472520.0,5.2302140852627135,-0.4404632833427638
1741472580.0,5.230384780670999,-0.44042465754778365
1741472640.0,5.230555467551832,-0.44038602093058404
1741472700.0,5.23072614590469,-0.4403473734931023
1741472760.0,5.2308968157290145,-0.44030871523727916
1741472820.0,5.231067477024263,-0.44027004616505555
1741472880.0,5.2312381297898956,-0.4402313662783722
1741472940.0,5.23140877402539,-0.44019267557916475
1741473000.0,5.231579409730185,-0.44015397406937734
1741473060.0,5.231750036903775,-0.44011526175094745
1741473120.0,5.231920655545569,-0.4400765386258176
1741473180.0,5.232091265655075,-0.440037804695925
1741473240.0,5.232261867231737,-0.4399990599632123
1741473300.0,5.232432460275048,-0.43996030442961853
1741473360.0,5.232603044784431,-0.4399215380970863
1741473420.0,5.2327736207593825,-0.4398827609675528
1741473480.0,5.232944188199376,-0.4398439730429607
1741473540.0,5.233114747103854,-0.43980517432525074
1741473600.0,5.233285297472312,-0.4397663648163638
1741473660.0,5.233455839304188,-0.43972754451824053
1741473720.0,5.233626372599016,-0.4396887134328201
1741473780.0,5.233796897356215,-0.43964987156204516
1741473840.0,5.233967413575263,-0.4396110189078581
1741473900.0,5.2341379212556545,-0.439572155472198
1741473960.0,5.2343084203968475,-0.43953328125700575
1741474020.0,5.234478910998337,-0.43949439626422554
1741474080.0,5.234649393059599,-0.43945550049579485
1741474140.0,5.23481986658011,-0.4394165939536578
1741474200.0,5.234990331559328,-0.439377676639757
1741474260.0,5.235160787996748,-0.4393387485560316
1741474320.0,5.235331235891864,-0.439299809704424
1741474380.0,5.2355016752441506,-0.4392608600868751
1741474440.0,5.235672106053086,-0.4392218997053292
1741474500.0,5.235842528318163,-0.43918292856172714
1741474560.0,5.23601294203886,-0.4391439466580096
1741474620.0,5.23618334721465,-0.4391049539961209
1741474680.0,5.236353743845047,-0.43906595057800024
1741474740.0,5.236524131929527,-0.43902693640559354
1741474800.0,5.236694511467565,-0.4389879114808399
1741474860.0,5.236864882458676,-0.4389488758056836
1741474920.0,5.237035244902348,-0.43890982938206713
1741474980.0,5.237205598798044,-0.4388707722119332
1741475040.0,5.237375944145292,-0.4388317042972225
1741475100.0,5.237546280943568,-0.43879262563987936
1741475160.0,5.237716609192349,-0.43875353624184804
1741475220.0,5.237886928891164,-0.43871443610506766
1741475280.0,5.238057240039488,-0.4386753252314825
1741475340.0,5.238227542636833,-0.43863620362303857
1741475400.0,5.238397836682693,-0.43859707128167497
1741475460.0,5.238568122176562,-0.438557928209336
1741475520.0,5.238738399117934,-0.4385187744079659
1741475580.0,5.23890866750632,-0.4384796098795073
1741475640.0,5.239078927341213,-0.4384404346259043
1741475700.0,5.239249178622126,-0.4384012486490998
1741475760.0,5.23941942134857,-0.43836205195103606
1741475820.0,5.239589655520037,-0.4383228445336592
1741475880.0,5.239759881136023,-0.4382836263989101
1741475940.0,5.239930098196056,-0.43824439754873473
1741476000.0,5.240100306699629,-0.43820515798507736
1741476060.0,5.2402705066462545,-0.43816590770987895
1741476120.0,5.240440698035443,-0.43812664672508533
1741476180.0,5.240610880866708,-0.43808737503264095
1741476240.0,5.240781055139557,-0.43804809263448824
1741476300.0,5.240951220853487,-0.4380087995325734
1741476360.0,5.241121378008043,-0.4379694957288406
1741476420.0,5.241291526602718,-0.43793018122523064
1741476480.0,5.241461666637026,-0.43789085602369315
1741476540.0,5.241631798110492,-0.4378515201261671
1741476600.0,5.241801921022613,-0.4378121735346021
1741476660.0,5.241972035372934,-0.437772816250939
1741476720.0,5.242142141160967,-0.43773344827712535
1741476780.0,5.242312238386221,-0.43769406961510393
1741476840.0,5.242482327048211,-0.4376546802668189
1741476900.0,5.24265240714648,-0.43761528023421825
